ID,Section,File,Field,English,Translation_rule,de,fr,es,pt,ru,zh,ar,de_status,other_langs_status
40,Pathway card 1,Index.tsx,description,"Decision-ready healthcare market research programs for pharmaceutical teams — globally, with deep execution in Europe, the Americas, and the Middle East.",Auto-expanded acronyms/loanwords — native review required,"Entscheidungsreife Gesundheitsmarktforschung für Pharmaindustrie-Teams — global, mit starker Umsetzung in Europa, Amerika und Nahem Osten.","Programmes d'études de marché santé prêts à la décision pour équipes industrie pharmaceutique — mondialement, avec exécution approfondie en Europe, Amériques et Moyen-Orient.","Programas de investigación sanitaria listos para decisiones — globalmente, con ejecución profunda en Europa, Américas y Oriente Medio.","Programas de pesquisa em saúde prontos para decisão — globalmente, com execução profunda na Europa, Américas e Oriente Médio.","Готовые к решениям программы исследований для фармкоманд — глобально, с глубоким исполнением в Европе, Америке и на Ближнем Востоке.",为制药团队提供可决策的医疗健康市场研究 — 全球覆盖，在欧洲、美洲与中东深度执行。,برامج أبحاث سوق صحي جاهزة للقرار — عالمياً، بتنفيذ عميق في أوروبا والأمريكتين والشرق الأوسط.,auto-revised,needs-review
41,Pathway card 2,Index.tsx,title,Saudi Arabia Pharmaceutical Research,Auto-expanded acronyms/loanwords — native review required,Pharmaindustriezeutische Forschung Saudi-Arabien,Recherche industrie pharmaceutiqueceutique Arabie saoudite,Investigación farmacéutica Arabia Saudí,Pesquisa farmacêutica Arábia Saudita,Фармацевтические исследования в Саудовской Аравии,沙特阿拉伯医药研究,أبحاث الأدوية في السعودية,auto-revised,needs-review
42,Pathway card 2,Index.tsx,label,Country-Level Depth,Auto-expanded acronyms/loanwords — native review required,Länder-Tiefe,Profondeur pays,Profundidad por país,Profundidade por país,Глубина на уровне страны,国家级深度,عمق على مستوى الدولة,carry-forward-review,needs-review
43,Pathway card 2,Index.tsx,description,"FDA-aligned pharmaceutical and healthcare market research intelligence for launch, access, and growth in KSA.",Auto-expanded acronyms/loanwords — native review required,"saudi-arabische Arzneimittelbehörde-ausgerichtete Pharmaindustrie- und Gesundheitsmarkt-Marktinformationen für Markteinführung, Zugang und Wachstum in Saudi-Arabien.","information marché industrie pharmaceutique et santé alignée FDA pour lancement, accès et croissance en Arabie saoudite.","Inteligencia farmacéutica y sanitaria alineada con FDA para lanzamiento, acceso y crecimiento en Arabia Saudí.","Inteligência farmacêutica e de saúde alinhada à FDA para lançamento, acesso e crescimento na Arábia Saudita.","Фарма- и медицинская аналитика в соответствии с FDA для запуска, доступа и роста в Саудовская Аравия.",符合 沙特食品药品管理局 框架的医药与健康市场情报，支持沙特上市、准入与增长。,ذكاء دوائي وصحي متوافق مع هيئة الغذاء والدواء السعودية للإطلاق والوصول والنمو في المملكة.,auto-revised,needs-review
44,Pathway card 2,Index.tsx,hint,Best for country-level execution,Auto-expanded acronyms/loanwords — native review required,Ideal für länderbezogene Umsetzung,Idéal pour exécution au niveau pays,Ideal para ejecución por país,Ideal para execução por país,Лучше для исполнения на уровне страны,最适合国家级执行,الأفضل للتنفيذ على مستوى الدولة,carry-forward-review,needs-review
45,Pathway card 3,Index.tsx,title,UAE Pharmaceutical Market Research,Auto-expanded acronyms/loanwords — native review required,Pharmaindustriemarktforschung Vereinigte Arabische Emirate,Études industrie pharmaceutique EAU,Investigación farmacéutica EAU,Pesquisa farmacêutica EAU,Фармацевтические исследования в ОАЭ,阿联酋医药市场研究,أبحاث السوق الدوائي في الإمارات,auto-revised,needs-review
46,Pathway card 3,Index.tsx,label,UAE Priority,Auto-expanded acronyms/loanwords — native review required,Vereinigte Arabische Emirate-Priorität,Priorité EAU,Prioridad EAU,Prioridade EAU,Приоритет ОАЭ,阿联酋优先,أولوية الإمارات,auto-revised,needs-review
47,Pathway card 3,Index.tsx,description,"Dubai and Abu Dhabi healthcare intelligence for drug development, market access, and quantitative and qualitative research across the Emirates.",Auto-expanded acronyms/loanwords — native review required,"Gesundheits-Marktinformationen für Dubai und Abu Dhabi: Arzneimittelentwicklung, Marktzugang sowie quantitative und qualitative Forschung in den Emiraten.","information marché santé Dubaï et Abu Dhabi pour développement, accès marché et recherche quantitative et qualitative aux Émirats.","Inteligencia sanitaria Dubái y Abu Dabi para desarrollo, acceso y investigación cuantitativa y cualitativa en los Emiratos.","Inteligência em saúde Dubai e Abu Dhabi para desenvolvimento, acesso e pesquisa quantitativa e qualitativa nos Emirados.","Медицинская аналитика Дубая и Абу-Даби для разработки, доступа и количественных/качественных исследований в Эмиратах.",迪拜与阿布扎比医疗情报 — 药物开发、市场准入及阿联酋全境定量与定性研究。,ذكاء صحي في دبي وأبوظبي للتطوير والوصول والبحث الكمي والنوعي عبر الإمارات.,auto-revised,needs-review
48,Pathway card 3,Index.tsx,hint,Best for UAE launch and access execution,Auto-expanded acronyms/loanwords — native review required,Ideal für Markteinführung- und Marktzugang-Umsetzung in den Vereinigte Arabische Emirate,Idéal pour lancement et accès aux EAU,Ideal para lanzamiento y acceso en EAU,Ideal para lançamento e acesso nos EAU,Лучше для запуска и доступа в ОАЭ,最适合阿联酋上市与准入执行,الأفضل لإطلاق ووصول الإمارات,auto-revised,needs-review
49,Pathway card 4,Index.tsx,title,Middle East Pharmaceutical Market Research,Auto-expanded acronyms/loanwords — native review required,Pharmaindustriemarktforschung Naher Osten,Études industrie pharmaceutique Moyen-Orient,Investigación farmacéutica Oriente Medio,Pesquisa farmacêutica Oriente Médio,Фармацевтические исследования на Ближнем Востоке,中东医药市场研究,أبحاث السوق الدوائي في الشرق الأوسط,auto-revised,needs-review
50,Pathway card 4,Index.tsx,label,GCC Priority,Expand GCC,Priorität Golf-Kooperationsrat,Priorité Conseil de coopération du Golfe,Prioridad Consejo de Cooperación del Golfo,Prioridade Conselho de Cooperação do Golfo,Приоритет Совета сотрудничества стран Залива,海湾合作委员会优先,أولوية مجلس التعاون الخليجي,revised-full-native,revised-full-native
51,Pathway card 4,Index.tsx,description,"GCC-focused pharmaceutical evidence programs for launch sequencing, market access, and cross-country execution.",GCC + launch + access native,"Arzneimittel-Evidenzprogramme mit Fokus auf den Golf-Kooperationsrat für Reihenfolge der Markteinführung, Marktzugang und länderübergreifende Umsetzung.","Programmes de preuves pharmaceutiques centrés sur le Conseil de coopération du Golfe pour séquençage des lancements, accès au marché et exécution transfrontalière.","Programas de evidencia farmacéutica centrados en el Consejo de Cooperación del Golfo para secuencia de lanzamientos, acceso al mercado y ejecución transfronteriza.","Programas de evidência farmacêutica focados no Conselho de Cooperação do Golfo para sequência de lançamentos, acesso ao mercado e execução entre países.","Программы фармацевтических доказательств с фокусом на Совет сотрудничества стран Залива: последовательность вывода на рынок, доступ и межстрановое исполнение.",以海湾合作委员会为重点的制药证据项目，支持上市排序、市场准入与跨国执行。,برامج أدلة دوائية مركّزة على مجلس التعاون الخليجي لتسلسل الإطلاق والوصول إلى السوق والتنفيذ عبر الدول.,revised-full-native,revised-full-native
52,Pathway card 4,Index.tsx,hint,Best for Middle East launch and access decisions,Auto-expanded acronyms/loanwords — native review required,Ideal für Markteinführung- und Marktzugang-Entscheidungen im Nahen Osten,Idéal pour décisions lancement et accès au Moyen-Orient,Ideal para decisiones de lanzamiento y acceso en Oriente Medio,Ideal para decisões de lançamento e acesso no Oriente Médio,Лучше для решений по запуску и доступу на Ближнем Востоке,最适合中东上市与准入决策,الأفضل لقرارات الإطلاق والوصول في الشرق الأوسط,auto-revised,needs-review
53,Pathway card 5,Index.tsx,title,Strategic Portfolio,Auto-expanded acronyms/loanwords — native review required,Strategisches Portfolio,Portefeuille stratégique,Portafolio estratégico,Portfólio estratégico,Стратегический портфель,战略能力组合,محفظة استراتيجية,carry-forward-review,needs-review
54,Pathway card 5,Index.tsx,label,Egypt Focus,Auto-expanded acronyms/loanwords — native review required,Fokus Ägypten,Focus Égypte,Enfoque Egipto,Foco Egito,Фокус на Египте,埃及聚焦,تركيز مصر,carry-forward-review,needs-review
55,Pathway card 5,Index.tsx,description,"Full capability overview: 127+ projects, 48 global clients, dual-practice healthcare and consumer research across Egypt and MENA.",Auto-expanded acronyms/loanwords — native review required,"Vollständiger Leistungsüberblick: 127+ Projekte, 48 globale Kunden, Gesundheitswesen- und Verbraucherforschung in Ägypten und Naher Osten und Nordafrika.","Vue d'ensemble des capacités : 127+ projets, 48 clients mondiaux, recherche santé et consommateur en Égypte et Moyen-Orient et Afrique du Nord.","Panorama de capacidades: 127+ proyectos, 48 clientes globales, investigación sanitaria y de consumo en Egipto y Oriente Medio y Norte de África.","Visão completa: 127+ projetos, 48 clientes globais, pesquisa em saúde e consumo no Egito e Oriente Médio e Norte da África.","Полный обзор возможностей: 127+ проектов, 48 клиентов, исследования здравоохранения и потребителей в Египте и Ближний Восток и Северная Африка.",完整能力概览：一百二十七+项目、四十八家全球客户，埃及与 中东与北非 医疗及消费者研究双轨实践。,نظرة شاملة: ١٢٧+ مشروعاً، ٤٨ عميلاً عالمياً، أبحاث صحية واستهلاكية في مصر والشرق الأوسط وشمال أفريقيا.,auto-revised,needs-review
56,Pathway card 5,Index.tsx,hint,See our market research portfolio,Auto-expanded acronyms/loanwords — native review required,Unser Marktforschungs-Portfolio ansehen,Voir notre portefeuille d'études,Ver nuestro portafolio de investigación,Ver nosso portfólio de pesquisa,Смотреть портфолио исследований,查看我们的市场研究组合,اطلع على محفظة أبحاث السوق,carry-forward-review,needs-review
57,Pathway card 6,Index.tsx,title,Top Market Research Companies in Egypt (2026),Auto-expanded acronyms/loanwords — native review required,Top-Marktforschungsunternehmen in Ägypten (2026),Meilleures sociétés d'études en Égypte (2026),Principales empresas de investigación en Egipto (2026),Principais empresas de pesquisa no Egito (2026),Лучшие исследовательские компании Египта (2026),埃及顶尖市场研究公司（二〇二六）,أفضل شركات أبحاث السوق في مصر (٢٠٢٦),carry-forward-review,needs-review
58,Pathway card 6,Index.tsx,label,New Guide,Auto-expanded acronyms/loanwords — native review required,Neuer Leitfaden,Nouveau guide,Nueva guía,Novo guia,Новый гид,新指南,دليل جديد,carry-forward-review,needs-review
59,Pathway card 6,Index.tsx,description,"Independent guide comparing 5 leading firms for healthcare, pharma, and consumer research in Egypt — the largest market in MENA.",Auto-expanded acronyms/loanwords — native review required,"Unabhängiger Leitfaden: Vergleich von 5 führenden Anbietern für Gesundheitswesen-, Pharmaindustrie- und Verbraucherforschung in Ägypten — dem größten Naher Osten und Nordafrika-Markt.","Guide indépendant comparant 5 leaders en recherche santé, industrie pharmaceutique et consommateur en Égypte — plus grand marché Moyen-Orient et Afrique du Nord.","Guía independiente que compara 5 firmas líderes en sanidad, farmacéutico y consumo en Egipto — el mayor mercado de Oriente Medio y Norte de África.","Guia independente comparando 5 líderes em saúde, farmacêutica e consumo no Egito — maior mercado da Oriente Médio e Norte da África.","Независимый гид: сравнение 5 ведущих компаний в здравоохранении, фарме и потребительских исследованиях в Египте — крупнейшем рынке Ближний Восток и Северная Африка.",独立指南：对比埃及 五家领先医疗、医药与消费者研究机构 — 中东与北非 最大市场。,دليل مستقل يقارن ٥ شركات رائدة في الأبحاث الصحية والدوائية والاستهلاكية في مصر — أكبر سوق في الشرق الأوسط وشمال أفريقيا.,auto-revised,needs-review
60,Pathway card 6,Index.tsx,hint,Best for Egypt partner selection,Auto-expanded acronyms/loanwords — native review required,Ideal für Partnerauswahl in Ägypten,Idéal pour choisir un partenaire en Égypte,Ideal para elegir socio en Egipto,Ideal para escolher parceiro no Egito,Лучше для выбора партнёра в Египте,最适合埃及合作伙伴选择,الأفضل لاختيار شريك في مصر,carry-forward-review,needs-review
