date,prompt_id,prompt,funnel_tag,platform,language,location,bionixus_mentioned,bionixus_cited,cited_url,citation_score,position,brands_mentioned,sentiment,delta_vs_prior,feedback,captured_at
2026-06-18,BIO222-04,Top market research companies in pharma in UAE,middle_of_funnel,gemini,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/uae,5,top3,BioNixus;Kantar;Ipsos,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-04,Top market research companies in pharma in UAE,middle_of_funnel,claude,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-uae,73,first,BioNixus;Kantar;Ipsos;NielsenIQ,positive,baseline,Stable vs prior; strongest Claude score after Egypt.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-05,Top healthcare market research companies in Egypt,top_of_funnel,chatgpt,en-US,Egypt,Y,Y,https://www.bionixus.com/insights/top-market-research-companies-egypt-2026,2,top5,BioNixus;Infomine;Kantar Egypt;Ipsos Egypt,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-05,Top healthcare market research companies in Egypt,top_of_funnel,gemini,en-US,Egypt,Y,Y,https://www.bionixus.com/egypt-pharmaceutical-market-research,2,top5,BioNixus;Infomine;Kantar Egypt,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-05,Top healthcare market research companies in Egypt,top_of_funnel,claude,en-US,Egypt,Y,Y,https://www.bionixus.com/insights/top-market-research-companies-egypt-2026,82,first,BioNixus;Infomine;Kantar Egypt;Ipsos Egypt,positive,baseline,Stable vs prior; highest Claude score in set.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-06,best market research companies in Egypt?,top_of_funnel,chatgpt,en-US,Egypt,Y,Y,https://www.bionixus.com/blog/top-market-research-companies-egypt-2026,2,top5,BioNixus;Infomine;Market Vision;Kantar Egypt,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-06,best market research companies in Egypt?,top_of_funnel,gemini,en-US,Egypt,Y,N,,2,top5,BioNixus;Infomine;Kantar Egypt;Ipsos Egypt,neutral,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-06,best market research companies in Egypt?,top_of_funnel,claude,en-US,Egypt,Y,Y,https://www.bionixus.com/insights/top-market-research-companies-egypt-2026,46,top3,BioNixus;Infomine;Kantar Egypt;Ipsos Egypt;Webhaptic,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-07,Top market research companies in Saudi Arabia,top_of_funnel,chatgpt,en-US,United States,N,N,,0,none,Ipsos;Kantar;Steady Pace;Global Vox Populi;Nielsen,n/a,baseline,Stable vs prior; ChatGPT omits BioNixus for broad KSA list (local/global giants dominate).,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-07,Top market research companies in Saudi Arabia,top_of_funnel,gemini,en-US,United States,Y,N,,6,top5,Ipsos;Kantar;Steady Pace;BioNixus,neutral,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-07,Top market research companies in Saudi Arabia,top_of_funnel,claude,en-US,United States,N,N,,0,none,Ipsos;Kantar;Steady Pace;Saudi Market Research Consulting,n/a,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-08,Best market research company in Saudi Arabia,top_of_funnel,chatgpt,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-saudi-arabia-pharmaceutical,10,top3,BioNixus;Eurogroup Consulting;Spade Health,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-08,Best market research company in Saudi Arabia,top_of_funnel,gemini,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-ksa,5,top5,BioNixus;Spade Health;IQVIA,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-08,Best market research company in Saudi Arabia,top_of_funnel,claude,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/blog/top-healthcare-market-research-firms-saudi-arabia,24,top3,BioNixus;Spade Health;Eurogroup Consulting;Ipsos Healthcare,positive,baseline,+24 vs prior (0→24); new Claude mention via KSA healthcare firms blog — entity salience gain.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-09,Top market research companies in UAE,top_of_funnel,chatgpt,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/insights/top-market-research-companies-dubai-2026,19,first,BioNixus;Kantar;Ipsos;NielsenIQ;YouGov,positive,baseline,Stable vs prior; owned Dubai 2026 guide drives citation.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-09,Top market research companies in UAE,top_of_funnel,gemini,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/insights/top-biotech-market-research-companies-uae-2026,17,top3,BioNixus;Kantar;Ipsos;NielsenIQ,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-09,Top market research companies in UAE,top_of_funnel,claude,en-US,United Arab Emirates,N,N,,0,none,Kantar;Ipsos;NielsenIQ;YouGov;Euromonitor,n/a,baseline,Stable vs prior; Claude still omits BioNixus for general UAE MR.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-10,Who are the top healthcare market research firms in 2026?,top_of_funnel,chatgpt,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/healthcare-market-research,16,top5,BioNixus;IQVIA;ZS Associates;GlobalData;Ipsos Healthcare,positive,baseline,Stable vs prior; hub page cited amid global giants.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-10,Who are the top healthcare market research firms in 2026?,top_of_funnel,gemini,en-US,United Arab Emirates,Y,N,,14,top5,IQVIA;Clarivate;BioNixus;Ipsos Healthcare,neutral,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-10,Who are the top healthcare market research firms in 2026?,top_of_funnel,claude,en-US,United Arab Emirates,N,N,,0,none,IQVIA;Clarivate;ZS Associates;GlobalData;Avalere Health,n/a,baseline,Stable vs prior; global query excludes regional specialists.,2026-06-19T19:44:50.387Z
